"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","industry","Summary Quote",
"KNDI","Kandi Technolgies, Corp.","3.34","91669640","n/a","n/a","Capital Goods","Auto Manufacturing","http://www.nasdaq.com/symbol/kndi",
"KCLI","Kansas City Life Insurance Company","33.89","384515940","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/kcli",
"KRNY","Kearny Financial","9.26","623170220","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/krny",
"KIPO","Keating Capital, Inc.","8.57","79563880","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/kipo",
"KELYA","Kelly Services, Inc.","16.37","546217790","n/a","n/a","Technology","Professional Services","http://www.nasdaq.com/symbol/kelya",
"KELYB","Kelly Services, Inc.","17.4","60099600","n/a","n/a","Technology","Professional Services","http://www.nasdaq.com/symbol/kelyb",
"KNSY","Kensey Nash Corporation","22.78","196933100","n/a","1995","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/knsy",
"KFFB","Kentucky First Federal Bancorp","9.07","70210870","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/kffb",
"KERX","Keryx Biopharmaceuticals, Inc.","3.2","227273600","n/a","n/a","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/kerx",
"KEQU","Kewaunee Scientific Corporation","9.34","24087860","n/a","n/a","Capital Goods","Medical Specialities","http://www.nasdaq.com/symbol/kequ",
"KTEC","Key Technology, Inc.","13.25","70688750","n/a","1993","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/ktec",
"KTCC","Key Tronic Corporation","9.92","103634240","n/a","1983","Technology","Computer peripheral equipment","http://www.nasdaq.com/symbol/ktcc",
"KEYN","Keynote Systems, Inc.","18.735","324115500","n/a","1999","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/keyn",
"KFRC","Kforce, Inc.","14.09","533588300","n/a","1995","Technology","Professional Services","http://www.nasdaq.com/symbol/kfrc",
"KBALB","Kimball International, Inc.","6.25","171531250","n/a","1976","Consumer Durables","Office Equipment/Supplies/Services","http://www.nasdaq.com/symbol/kbalb",
"KGJI","Kingold Jewelry Inc.","1.8","95592600","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/kgji",
"KINS","Kingstone Companies, Inc","3.25","12473500","n/a","n/a","Finance","Specialty Insurers","http://www.nasdaq.com/symbol/kins",
"KONE","Kingtone Wirelessinfo Solution Holding Ltd","0.6399","8990595","n/a","2010","Technology","EDP Services","http://www.nasdaq.com/symbol/kone",
"KIOR","KiOR, Inc.","12.02","483276120","n/a","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/kior",
"KIPS","Kips Bay Medical, Inc.","1.51","23622440","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/kips",
"KIRK","Kirkland&#39;s, Inc.","16.3","329814200","n/a","2002","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/kirk",
"KITD","KIT digital, Inc.","11.85","546948600","n/a","n/a","Consumer Services","Diversified Commercial Services","http://www.nasdaq.com/symbol/kitd",
"KLAC","KLA-Tencor Corporation","49.41","8234868240","n/a","1980","Capital Goods","Electronic Components","http://www.nasdaq.com/symbol/klac",
"KMGB","KMG Chemicals, Inc.","17.36","196723520","n/a","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/kmgb",
"VLCCF","Knightsbridge Tankers Limited","14.44","352711440","n/a","1997","Consumer Services","Marine Transportation","http://www.nasdaq.com/symbol/vlccf",
"KNOL","Knology, Inc.","15.6","588447600","n/a","2003","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/knol",
"KCAP","Kohlberg Capital Corporation","7.05","161353350","n/a","2006","n/a","n/a","http://www.nasdaq.com/symbol/kcap",
"KONA","Kona Grill, Inc.","6.06","56836740","n/a","2005","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/kona",
"KONG","KongZhong Corporation","4.49","169600770","n/a","2004","Technology","Telecommunications Equipment","http://www.nasdaq.com/symbol/kong",
"KOPN","Kopin Corporation","3.74","253744040","n/a","1992","Technology","Semiconductors","http://www.nasdaq.com/symbol/kopn",
"KOSS","Koss Corporation","5.85","43190550","n/a","n/a","Consumer Non-Durables","Consumer Electronics/Appliances","http://www.nasdaq.com/symbol/koss",
"KTOS","Kratos Defense & Security Solutions, Inc.","6.69","230122620","n/a","n/a","Consumer Services","Telecommunications Equipment","http://www.nasdaq.com/symbol/ktos",
"KSW","KSW Inc","3.57","22730190","n/a","n/a","Consumer Durables","Industrial Machinery/Components","http://www.nasdaq.com/symbol/ksw",
"KSWS","K-Swiss Inc.","3.48","95905320","n/a","1990","Consumer Non-Durables","Shoe Manufacturing","http://www.nasdaq.com/symbol/ksws",
"KUTV","Ku6 Media Co., Ltd.","2.02","70322260","n/a","n/a","Consumer Services","Telecommunications Equipment","http://www.nasdaq.com/symbol/kutv",
"KLIC","Kulicke and Soffa Industries, Inc.","11.23","816409770","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/klic",
"KVHI","KVH Industries, Inc.","9.9","143550000","n/a","1996","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/kvhi",
"LLEN","L&L Energy, Inc.","2.68","86815920","n/a","n/a","Energy","Coal Mining","http://www.nasdaq.com/symbol/llen",
"FSTR","L.B. Foster Company","31.63","318134540","n/a","n/a","Basic Industries","Metal Fabrications","http://www.nasdaq.com/symbol/fstr",
"BOOT","LaCrosse Footwear, Inc.","12.32","80129280","n/a","1994","Consumer Non-Durables","Shoe Manufacturing","http://www.nasdaq.com/symbol/boot",
"LSBK","Lake Shore Bancorp, Inc.","9.75","57905250","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/lsbk",
